zscore_lookback,entry_zscore,exit_zscore,stop_zscore,position_size,stop_loss_pct,trailing_activation_pct,trailing_stop_pct,exit_confirmation_bars,enable_partial_exit,partial_exit_pct,partial_exit_fraction,notes
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.012,0.5,"partial at 1.2%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.015,0.5,"partial at 1.5%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.4,"partial fraction 40%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.6,"partial fraction 60%"
50,1.5,0.3,3.0,0.5,0.018,0.01,0.005,2,true,0.008,0.5,"stop 1.8%"
50,1.5,0.3,3.0,0.5,0.022,0.01,0.005,2,true,0.008,0.5,"stop 2.2%"
50,1.5,0.3,3.0,0.5,0.03,0.01,0.005,2,true,0.008,0.5,"stop 3.0% with Phase 1"
50,1.5,0.3,2.5,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"stop_zscore=2.5 tighter divergence stop"
50,1.5,0.3,3.5,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"stop_zscore=3.5 wider divergence stop"
50,1.5,0.3,3.0,0.4,0.02,0.01,0.005,2,true,0.008,0.5,"position 40%"
50,1.5,0.3,3.0,0.6,0.02,0.01,0.005,2,true,0.008,0.5,"position 60%"
50,1.5,0.3,3.0,0.35,0.02,0.01,0.005,2,true,0.008,0.5,"position 35%"
50,1.5,0.3,3.0,0.7,0.02,0.01,0.005,2,true,0.008,0.5,"position 70%"
45,1.4,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=45 entry=1.4"
45,1.5,0.2,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=45 exit_z=0.2"
55,1.4,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=55 entry=1.4"
55,1.6,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=55 entry=1.6"
48,1.45,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=48 entry=1.45"
52,1.55,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"lookback=52 entry=1.55"
50,1.4,0.2,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.4 exit_z=0.2"
50,1.6,0.4,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.6 exit_z=0.4"
50,1.5,0.3,3.0,0.5,0.015,0.008,0.003,1,true,0.006,0.3,"ultra-aggressive: all tight"
50,1.5,0.3,3.0,0.5,0.025,0.012,0.007,3,true,0.01,0.7,"ultra-conservative: all wide"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.005,2,true,0.008,0.5,"activate=0.8% trail=0.5% (low act, med trail)"
50,1.5,0.3,3.0,0.5,0.02,0.012,0.003,2,true,0.008,0.5,"activate=1.2% trail=0.3% (high act, tight trail)"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.007,2,true,0.008,0.5,"activate=0.8% trail=0.7% (low act, wide trail)"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,1,false,0.008,0.5,"fast confirm + no partial"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,3,false,0.008,0.5,"slow confirm + no partial"
50,1.5,0.3,3.0,0.5,0.015,0.01,0.005,2,false,0.008,0.5,"tight stop + no partial"
50,1.5,0.3,3.0,0.5,0.02,0.008,0.003,2,false,0.008,0.5,"tight trail + no partial"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"trailing only (partial on but high thresh)"
45,1.4,0.2,3.0,0.5,0.02,0.008,0.003,1,true,0.006,0.5,"aggressive z + aggressive Phase 1"
55,1.6,0.4,3.0,0.5,0.02,0.012,0.007,3,true,0.01,0.5,"conservative z + conservative Phase 1"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"baseline repeated for variance check"
45,1.5,0.3,3.0,0.5,0.015,0.01,0.005,2,true,0.008,0.5,"lookback=45 stop=1.5%"
55,1.5,0.3,3.0,0.5,0.015,0.01,0.005,2,true,0.008,0.5,"lookback=55 stop=1.5%"
50,1.4,0.3,3.0,0.6,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.4 position=60%"
50,1.6,0.3,3.0,0.4,0.02,0.01,0.005,2,true,0.008,0.5,"entry=1.6 position=40%"
50,1.5,0.3,3.0,0.5,0.02,0.01,0.005,2,true,0.008,0.5,"Phase 1 best guess (same as baseline)"
