rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,ema_fast_period,ema_slow_period,stop_loss_pct,take_profit_pct,position_size_level1,position_size_level2,position_size_level3
10,24.7,68.0,30,2.1,9,18,0.011,0.026,0.47,0.31,0.19
14,21.7,79.09,23,1.83,11,27,0.023,0.031,0.57,0.26,0.18
21,31.3,71.5,18,1.6,7,16,0.026,0.036,0.5,0.31,0.15
15,29.6,74.5,23,2.3,12,16,0.02,0.037,0.43,0.39,0.19
16,21.0,70.1,18,1.7,12,24,0.012,0.039,0.45,0.29,0.21
11,26.3,77.4,26,2.2,13,26,0.01,0.035,0.48,0.27,0.21
13,30.4,78.4,21,2.1,7,23,0.013,0.044,0.49,0.33,0.22
14,23.4,76.5,25,2.5,7,26,0.025,0.046,0.37,0.33,0.29
12,27.86,74.16,20,2.11,9,21,0.017,0.027,0.42,0.34,0.23
12,25.5,71.9,21,2.2,11,28,0.029,0.042,0.48,0.32,0.16
18,30.1,70.4,15,2.0,14,23,0.017,0.021,0.44,0.43,0.13
16,22.7,76.4,24,1.6,10,17,0.024,0.034,0.5,0.32,0.22
17,29.7,69.3,19,2.3,9,26,0.023,0.04,0.38,0.46,0.2
10,26.2,78.0,30,2.0,7,27,0.02,0.022,0.57,0.31,0.14
13,23.2,76.3,26,2.1,14,19,0.024,0.046,0.45,0.29,0.21
20,28.7,75.8,19,2.0,10,15,0.019,0.038,0.44,0.36,0.16
16,27.4,75.5,25,1.6,9,25,0.027,0.037,0.53,0.34,0.16
17,28.1,76.9,30,1.8,14,19,0.022,0.041,0.58,0.27,0.19
13,29.2,68.6,29,2.5,8,19,0.028,0.044,0.48,0.28,0.25
15,31.7,73.6,21,2.3,10,19,0.024,0.049,0.49,0.28,0.23
13,21.6,65.4,22,2.4,6,16,0.03,0.037,0.5,0.33,0.18
20,23.7,67.2,17,1.9,13,23,0.023,0.028,0.52,0.3,0.19
11,28.4,68.5,16,1.8,13,23,0.023,0.024,0.54,0.3,0.17
13,28.5,69.2,29,2.4,5,18,0.029,0.035,0.48,0.31,0.21
17,22.1,71.7,28,2.1,7,17,0.011,0.044,0.53,0.24,0.25
18,20.8,78.5,23,1.84,10,24,0.021,0.036,0.54,0.28,0.19
16,24.9,71.7,16,1.7,11,28,0.019,0.028,0.51,0.25,0.26
11,30.6,65.6,22,1.6,6,25,0.024,0.03,0.52,0.32,0.12
11,22.3,71.3,17,1.6,10,17,0.015,0.035,0.5,0.32,0.18
16,27.4,69.6,17,2.1,10,29,0.017,0.048,0.42,0.33,0.27
11,32.0,76.9,23,1.5,9,15,0.023,0.023,0.49,0.33,0.2
11,25.13,74.83,15,2.09,8,22,0.017,0.027,0.49,0.35,0.24
14,25.0,71.1,27,1.6,13,23,0.02,0.036,0.45,0.31,0.26
14,31.7,68.4,21,2.4,12,29,0.019,0.027,0.45,0.34,0.25
13,24.5,73.7,19,1.8,7,29,0.014,0.043,0.45,0.3,0.22
14,26.9,73.0,23,2.1,7,19,0.02,0.033,0.59,0.2,0.22
21,28.0,76.0,18,2.0,10,22,0.021,0.046,0.53,0.32,0.18
21,23.6,66.9,21,2.4,15,23,0.018,0.05,0.45,0.34,0.22
13,22.6,76.5,17,1.7,5,25,0.025,0.035,0.46,0.37,0.21
19,33.4,79.9,26,2.2,10,17,0.022,0.044,0.44,0.3,0.28
19,33.5,78.5,16,2.0,5,23,0.025,0.032,0.36,0.4,0.27
15,33.4,79.5,15,2.5,13,23,0.026,0.04,0.47,0.31,0.22
18,23.3,75.9,26,1.9,11,19,0.015,0.043,0.56,0.22,0.22
10,27.4,73.3,30,2.2,14,17,0.019,0.031,0.54,0.21,0.21
18,33.2,78.7,28,2.1,8,18,0.027,0.033,0.47,0.32,0.24
15,28.1,77.0,20,2.5,14,17,0.012,0.026,0.45,0.29,0.21
14,29.2,71.9,19,2.3,14,16,0.015,0.041,0.46,0.28,0.24
20,25.8,70.7,18,1.6,7,15,0.017,0.032,0.58,0.33,0.13
13,34.7,65.1,17,2.5,8,21,0.025,0.03,0.45,0.41,0.17
12,32.3,67.1,22,1.6,13,28,0.019,0.025,0.39,0.45,0.19
16,24.6,67.3,22,2.0,12,27,0.011,0.021,0.5,0.26,0.2
15,23.4,79.5,22,2.2,12,20,0.023,0.033,0.49,0.28,0.24
18,20.3,69.4,21,1.7,10,16,0.012,0.037,0.51,0.25,0.21
15,31.5,67.6,22,2.3,10,16,0.014,0.02,0.46,0.26,0.24
12,29.7,77.7,17,1.6,7,18,0.025,0.025,0.45,0.31,0.24
17,20.5,67.4,26,2.0,7,19,0.022,0.049,0.54,0.31,0.14
12,31.0,67.6,29,2.3,13,21,0.03,0.04,0.36,0.36,0.26
18,30.6,75.1,23,2.1,14,23,0.026,0.036,0.44,0.39,0.19
10,29.2,74.3,29,1.6,14,24,0.012,0.041,0.4,0.36,0.21
12,28.1,77.9,20,2.3,11,19,0.028,0.028,0.55,0.29,0.11
19,27.6,76.1,24,2.5,10,17,0.028,0.038,0.54,0.29,0.19
13,29.8,77.8,18,2.1,9,21,0.018,0.028,0.4,0.31,0.28
14,29.3,77.4,19,1.7,14,26,0.026,0.045,0.6,0.27,0.16
17,21.6,72.9,27,2.1,13,27,0.025,0.049,0.6,0.31,0.13
12,28.72,74.54,18,2.14,8,22,0.019,0.026,0.42,0.32,0.23
12,28.0,75.4,23,2.0,10,26,0.012,0.047,0.6,0.28,0.12
16,34.8,70.9,28,2.0,8,27,0.022,0.048,0.49,0.24,0.29
12,33.7,79.0,18,2.0,9,20,0.028,0.038,0.54,0.26,0.16
10,28.6,76.9,16,1.7,10,28,0.025,0.03,0.45,0.33,0.26
10,33.7,67.3,16,2.4,8,30,0.012,0.035,0.52,0.25,0.24
14,33.6,67.9,25,2.4,10,20,0.016,0.021,0.44,0.3,0.22
20,22.4,79.2,28,1.9,14,28,0.026,0.05,0.54,0.33,0.11
16,26.1,70.5,29,2.2,5,28,0.026,0.036,0.48,0.27,0.29
17,27.7,66.4,29,2.4,12,21,0.026,0.031,0.4,0.35,0.23
20,26.6,77.5,27,1.9,11,22,0.02,0.036,0.48,0.3,0.25
10,25.8,68.4,29,2.4,10,15,0.014,0.04,0.57,0.34,0.11
20,32.9,79.9,24,1.7,7,29,0.026,0.049,0.36,0.38,0.27
18,23.6,78.9,17,2.1,11,24,0.028,0.038,0.49,0.32,0.15
21,32.6,72.4,26,2.0,7,28,0.021,0.026,0.58,0.27,0.16
20,25.2,66.0,22,2.5,10,25,0.018,0.041,0.49,0.32,0.19
16,24.1,74.7,25,2.0,14,20,0.028,0.041,0.58,0.28,0.17
10,26.8,66.2,29,1.5,14,23,0.017,0.047,0.55,0.31,0.11
19,23.4,79.0,29,1.9,8,24,0.015,0.049,0.52,0.3,0.17
10,23.2,78.2,22,2.3,10,17,0.029,0.039,0.41,0.34,0.24
21,25.6,77.7,20,2.4,15,26,0.025,0.035,0.47,0.33,0.16
20,29.6,67.6,29,1.8,14,30,0.018,0.032,0.52,0.35,0.13
12,28.5,70.4,25,1.7,7,21,0.021,0.023,0.4,0.28,0.29
19,25.9,70.9,26,2.2,5,20,0.028,0.038,0.55,0.31,0.17
17,33.9,78.1,29,1.6,5,26,0.02,0.035,0.41,0.37,0.26
17,33.1,71.7,30,2.2,9,23,0.029,0.039,0.52,0.32,0.14
21,27.2,76.1,28,2.4,5,25,0.016,0.033,0.42,0.33,0.26
11,30.0,66.7,18,1.7,14,29,0.026,0.036,0.4,0.5,0.13
20,34.2,79.2,23,2.1,9,19,0.027,0.036,0.41,0.3,0.27
13,24.2,73.7,25,2.3,15,26,0.027,0.038,0.43,0.27,0.27
13,23.1,70.8,20,2.2,8,23,0.012,0.021,0.46,0.3,0.2
21,29.4,68.8,26,1.9,15,29,0.023,0.03,0.43,0.38,0.18
20,31.9,77.9,20,1.7,10,21,0.023,0.044,0.46,0.31,0.18
14,34.4,79.7,23,1.8,9,30,0.014,0.031,0.45,0.3,0.22
13,23.8,75.4,16,2.3,6,25,0.02,0.026,0.34,0.4,0.3
21,26.1,77.9,26,1.6,13,22,0.015,0.038,0.56,0.24,0.22
14,28.8,74.2,25,1.9,7,28,0.022,0.046,0.5,0.27,0.2
19,24.5,71.7,21,1.8,11,24,0.01,0.022,0.47,0.32,0.2
12,23.0,75.3,27,2.3,14,17,0.026,0.03,0.43,0.34,0.27
10,28.3,70.7,17,1.7,13,20,0.022,0.034,0.43,0.24,0.29
10,33.7,71.7,24,2.2,7,30,0.022,0.027,0.43,0.44,0.16
20,27.7,76.2,15,2.5,9,24,0.017,0.043,0.43,0.29,0.27
17,25.0,69.9,25,1.8,9,30,0.016,0.048,0.38,0.26,0.32
19,20.0,73.5,23,1.5,10,26,0.022,0.032,0.52,0.26,0.2
16,23.91,75.84,23,1.95,10,26,0.02,0.039,0.59,0.29,0.15
17,22.98,77.07,20,2.14,9,22,0.024,0.04,0.51,0.28,0.18
14,24.3,69.9,16,2.4,13,18,0.017,0.026,0.45,0.4,0.14
19,31.2,76.1,25,1.7,6,20,0.026,0.034,0.51,0.33,0.15
19,30.1,77.4,16,1.9,5,21,0.014,0.043,0.42,0.42,0.13
12,23.1,72.5,25,2.2,9,19,0.02,0.046,0.47,0.29,0.19
20,27.6,68.6,27,2.1,13,16,0.029,0.039,0.49,0.4,0.14
10,33.8,68.2,21,2.4,12,18,0.021,0.035,0.55,0.19,0.23
16,22.47,76.89,22,1.99,10,22,0.021,0.034,0.51,0.27,0.18
18,24.8,70.0,21,2.4,13,15,0.011,0.025,0.38,0.34,0.26
13,20.8,68.7,26,1.8,13,26,0.025,0.037,0.44,0.38,0.23
11,23.7,77.0,25,2.3,10,16,0.027,0.037,0.33,0.4,0.24
10,28.7,69.2,24,1.9,11,19,0.013,0.041,0.52,0.36,0.13
13,21.1,66.7,18,1.7,6,28,0.017,0.043,0.57,0.26,0.14
14,34.4,65.0,27,2.1,6,23,0.023,0.028,0.39,0.3,0.29
14,28.3,76.7,28,1.7,6,15,0.019,0.025,0.38,0.32,0.35
12,30.6,78.8,19,1.9,11,22,0.021,0.036,0.35,0.3,0.32
10,33.1,66.1,19,1.6,6,25,0.024,0.038,0.42,0.3,0.23
14,30.9,76.7,23,1.9,15,16,0.029,0.035,0.57,0.29,0.18
11,26.3,71.49,17,2.15,9,24,0.018,0.028,0.4,0.31,0.24
18,33.4,66.8,20,2.3,9,21,0.015,0.035,0.49,0.34,0.17
14,33.0,77.9,21,2.2,10,23,0.017,0.023,0.47,0.3,0.19
11,22.6,69.6,18,2.1,8,24,0.014,0.024,0.55,0.3,0.19
18,31.8,78.3,28,2.2,11,29,0.012,0.042,0.48,0.24,0.24
12,24.4,68.2,20,2.3,9,23,0.027,0.037,0.6,0.28,0.11
17,31.4,70.0,17,2.3,9,30,0.013,0.048,0.5,0.32,0.15
21,34.9,77.6,23,2.4,10,15,0.014,0.023,0.4,0.42,0.18
20,31.0,66.8,25,2.3,8,22,0.02,0.044,0.53,0.3,0.18
15,34.3,75.3,17,1.9,11,15,0.015,0.031,0.54,0.23,0.27
15,27.2,66.9,28,2.4,7,22,0.018,0.036,0.43,0.32,0.27
13,20.3,72.8,29,1.7,13,22,0.012,0.027,0.51,0.36,0.18
14,32.5,65.2,19,2.2,11,17,0.027,0.028,0.45,0.4,0.15
19,26.5,65.3,19,2.1,10,17,0.022,0.046,0.41,0.25,0.3
16,25.3,76.2,29,1.7,9,29,0.023,0.05,0.55,0.23,0.17
12,21.8,70.0,27,2.3,6,20,0.016,0.038,0.44,0.4,0.21
20,21.3,74.4,25,2.1,13,16,0.013,0.027,0.59,0.32,0.11
10,26.8,67.4,18,2.3,11,16,0.03,0.04,0.51,0.21,0.26
11,29.91,72.86,19,2.19,9,25,0.018,0.028,0.42,0.31,0.21
16,30.3,76.5,22,2.4,10,17,0.013,0.036,0.55,0.29,0.14
17,31.3,65.4,18,1.5,6,21,0.011,0.034,0.48,0.34,0.19
12,25.4,66.4,23,2.0,8,26,0.022,0.04,0.55,0.2,0.2
13,35.0,76.6,18,1.7,13,23,0.015,0.031,0.46,0.28,0.3
11,26.5,79.5,25,1.9,13,25,0.025,0.039,0.47,0.3,0.21
11,21.7,67.9,28,1.6,13,21,0.013,0.023,0.46,0.4,0.11
17,20.3,72.2,20,2.1,13,19,0.023,0.029,0.47,0.31,0.18
21,25.8,65.5,28,2.5,15,20,0.014,0.034,0.58,0.26,0.13
13,27.2,75.9,15,1.8,8,30,0.03,0.04,0.5,0.27,0.28
20,28.0,65.8,22,2.5,10,27,0.022,0.031,0.53,0.29,0.18
10,31.2,79.0,20,2.3,11,20,0.029,0.039,0.44,0.26,0.26
14,25.2,69.8,20,1.6,9,17,0.011,0.028,0.45,0.38,0.16
11,21.3,67.6,26,1.6,13,28,0.029,0.032,0.51,0.32,0.18
17,27.0,66.6,21,1.9,13,28,0.026,0.037,0.58,0.3,0.16
17,27.1,71.8,28,2.3,15,23,0.017,0.032,0.37,0.35,0.24
19,25.3,69.9,15,1.9,7,21,0.015,0.05,0.54,0.28,0.15
20,22.9,71.2,27,2.3,14,26,0.027,0.031,0.53,0.27,0.17
16,32.6,78.2,15,1.8,7,22,0.011,0.041,0.39,0.42,0.2
13,32.5,70.8,17,1.6,11,26,0.023,0.033,0.47,0.21,0.28
16,21.4,70.8,29,1.8,8,20,0.022,0.031,0.37,0.35,0.27
15,35.0,70.1,23,2.0,5,29,0.02,0.048,0.38,0.34,0.28
20,20.9,69.0,24,2.0,6,29,0.013,0.041,0.61,0.23,0.2
11,32.7,74.9,21,1.9,7,21,0.026,0.034,0.55,0.3,0.19
19,23.5,65.5,26,2.5,15,28,0.016,0.023,0.54,0.32,0.17
16,32.3,71.5,20,2.3,14,23,0.026,0.036,0.52,0.36,0.16
11,29.1,74.4,18,2.4,13,18,0.017,0.024,0.49,0.34,0.14
11,20.4,71.2,20,1.6,10,21,0.01,0.028,0.45,0.37,0.2
12,20.9,79.8,18,2.4,13,23,0.026,0.045,0.58,0.23,0.16
18,33.2,75.1,23,1.7,10,20,0.022,0.034,0.42,0.43,0.18
15,31.1,68.3,29,2.2,10,16,0.026,0.043,0.54,0.3,0.2
19,32.8,67.8,24,2.3,14,18,0.023,0.035,0.41,0.34,0.23
19,24.5,67.9,28,1.9,11,19,0.026,0.04,0.4,0.35,0.21
16,25.3,68.6,19,2.0,6,22,0.011,0.031,0.5,0.28,0.22
15,32.9,67.4,26,1.8,11,19,0.012,0.022,0.48,0.34,0.14
14,22.5,74.0,21,2.0,14,29,0.028,0.033,0.34,0.36,0.3
11,27.75,73.13,20,2.18,8,24,0.015,0.025,0.43,0.31,0.2
13,24.1,69.8,17,1.5,10,16,0.012,0.027,0.51,0.3,0.19
18,23.75,77.69,22,1.8,11,22,0.025,0.031,0.58,0.28,0.19
13,20.6,73.3,26,2.4,12,16,0.028,0.042,0.53,0.37,0.15
17,25.0,73.5,17,2.1,13,28,0.014,0.033,0.6,0.31,0.12
12,27.3,79.7,25,2.1,5,17,0.022,0.032,0.41,0.4,0.15
13,28.6,65.1,16,2.4,6,26,0.029,0.039,0.39,0.36,0.21
20,24.6,66.2,26,2.0,14,17,0.022,0.04,0.36,0.38,0.25
19,34.8,70.4,17,2.1,7,25,0.029,0.049,0.47,0.37,0.16
11,22.3,79.5,25,2.1,7,17,0.018,0.029,0.47,0.33,0.19
12,25.7,74.2,23,2.2,7,20,0.019,0.049,0.56,0.34,0.15
19,22.0,73.3,18,2.1,13,30,0.014,0.026,0.47,0.29,0.28
18,30.9,71.6,24,1.7,5,30,0.028,0.035,0.53,0.25,0.26
15,32.7,75.4,22,2.3,11,20,0.018,0.027,0.51,0.26,0.23
20,27.5,66.4,29,1.7,6,17,0.021,0.03,0.46,0.23,0.27
17,26.6,72.8,17,1.6,12,23,0.013,0.029,0.46,0.37,0.18
13,34.5,74.6,23,2.3,8,30,0.019,0.027,0.41,0.47,0.13
16,29.2,77.8,26,2.1,10,21,0.026,0.035,0.48,0.2,0.28
12,31.6,78.0,28,2.0,12,26,0.023,0.045,0.42,0.42,0.15
13,29.0,68.5,26,1.8,13,27,0.011,0.02,0.41,0.31,0.23
18,33.6,69.7,24,1.8,6,28,0.013,0.048,0.4,0.33,0.24
17,32.3,73.6,27,1.5,14,17,0.021,0.027,0.43,0.34,0.28
11,25.8,79.0,28,1.8,10,18,0.019,0.048,0.59,0.24,0.15
12,34.1,75.2,17,1.7,12,18,0.015,0.043,0.57,0.28,0.15
16,22.29,75.32,21,2.18,10,27,0.021,0.037,0.51,0.27,0.2
18,20.8,69.3,21,1.9,7,20,0.02,0.026,0.41,0.33,0.27
14,22.4,78.5,16,2.2,12,26,0.012,0.037,0.41,0.3,0.24
15,31.1,70.9,28,1.5,10,30,0.017,0.037,0.38,0.41,0.23
19,20.4,74.6,22,1.6,7,16,0.012,0.025,0.39,0.43,0.19
20,33.9,67.0,21,2.1,8,17,0.011,0.036,0.57,0.3,0.18
16,28.8,66.9,21,1.9,11,26,0.027,0.049,0.37,0.39,0.22
15,32.2,69.6,19,2.2,9,28,0.021,0.037,0.41,0.3,0.27
18,27.1,71.3,21,2.4,12,23,0.022,0.041,0.47,0.32,0.18
21,33.6,73.4,16,1.8,6,29,0.023,0.04,0.42,0.28,0.29
17,32.5,69.8,18,2.1,10,27,0.03,0.04,0.52,0.28,0.21
11,32.9,72.3,18,1.9,10,24,0.017,0.046,0.61,0.24,0.2
17,21.2,79.2,27,2.0,12,16,0.021,0.034,0.43,0.31,0.23
19,29.4,74.8,19,1.5,12,19,0.022,0.025,0.55,0.27,0.15
17,33.8,67.4,22,1.6,5,21,0.011,0.034,0.52,0.32,0.16
18,22.1,65.2,22,2.0,15,19,0.024,0.032,0.42,0.3,0.31
17,31.0,72.2,30,1.6,10,21,0.029,0.039,0.39,0.37,0.26
16,25.4,75.3,16,1.8,14,21,0.027,0.034,0.4,0.35,0.25
18,24.2,78.0,17,2.1,14,27,0.025,0.049,0.37,0.32,0.31
11,34.1,68.0,23,2.0,8,21,0.015,0.036,0.48,0.28,0.2
12,29.6,75.0,19,2.3,11,25,0.012,0.04,0.36,0.42,0.26
12,32.8,69.4,21,1.6,6,25,0.016,0.038,0.51,0.33,0.18
17,25.9,67.8,23,2.1,11,17,0.012,0.032,0.4,0.27,0.29
11,25.2,76.8,28,2.0,6,20,0.021,0.041,0.41,0.39,0.18
17,29.3,73.2,24,2.2,6,19,0.028,0.032,0.44,0.32,0.22
14,22.9,72.6,28,2.4,13,28,0.023,0.044,0.61,0.29,0.12
19,25.8,76.6,17,2.1,7,25,0.024,0.034,0.49,0.3,0.25
19,23.0,65.9,26,2.2,10,16,0.013,0.038,0.51,0.26,0.18
19,23.8,72.5,28,1.7,14,23,0.017,0.037,0.42,0.33,0.2
19,34.4,67.2,22,1.8,12,22,0.024,0.039,0.5,0.26,0.22
18,21.5,75.0,18,1.8,13,21,0.013,0.049,0.49,0.28,0.17
12,29.76,73.23,19,2.02,10,23,0.019,0.028,0.45,0.31,0.2
12,23.6,65.4,27,1.5,14,29,0.014,0.03,0.33,0.41,0.28
17,31.5,69.6,26,2.4,14,22,0.014,0.02,0.47,0.35,0.16
15,32.0,70.6,24,2.1,8,21,0.019,0.033,0.52,0.28,0.19
12,23.5,73.5,24,2.4,11,29,0.028,0.038,0.42,0.35,0.2
19,29.2,70.0,18,1.8,9,22,0.024,0.036,0.43,0.41,0.18
18,31.4,68.6,15,2.2,6,18,0.016,0.023,0.49,0.36,0.17
14,31.1,75.7,25,1.7,12,23,0.025,0.033,0.41,0.46,0.14
20,27.8,76.5,19,1.9,12,25,0.028,0.038,0.54,0.25,0.22
19,22.3,72.2,20,1.6,7,18,0.022,0.047,0.46,0.28,0.24
16,33.7,69.1,21,2.1,5,18,0.023,0.027,0.53,0.24,0.21
15,34.0,78.6,29,2.1,8,21,0.012,0.024,0.52,0.24,0.22
17,27.8,71.4,20,2.0,7,22,0.022,0.026,0.4,0.34,0.26
12,24.2,67.8,26,1.6,5,19,0.016,0.043,0.46,0.37,0.13
18,28.6,67.1,17,2.4,7,17,0.013,0.039,0.41,0.31,0.29
13,28.1,68.5,27,2.0,8,20,0.02,0.046,0.42,0.32,0.3
15,32.9,74.3,28,2.3,12,28,0.022,0.031,0.47,0.36,0.21
17,30.8,67.7,17,1.9,15,30,0.01,0.038,0.44,0.38,0.23
20,26.0,79.4,28,1.7,7,23,0.017,0.024,0.48,0.29,0.25
12,29.4,69.4,20,2.0,13,23,0.029,0.039,0.48,0.41,0.15
20,23.5,79.3,30,2.5,7,24,0.019,0.023,0.41,0.32,0.24
18,24.01,77.4,24,2.06,12,23,0.021,0.033,0.53,0.25,0.16
15,26.2,74.8,24,2.5,12,22,0.017,0.038,0.4,0.29,0.31
17,23.2,66.8,27,2.1,6,27,0.026,0.036,0.5,0.21,0.28
19,31.4,67.5,28,2.4,9,24,0.024,0.031,0.64,0.23,0.12
21,31.0,72.4,30,1.9,7,25,0.022,0.029,0.37,0.35,0.24
20,20.2,69.5,21,1.8,6,29,0.017,0.047,0.4,0.35,0.27
11,26.7,76.7,29,2.3,6,18,0.026,0.037,0.52,0.29,0.24
16,25.6,77.4,21,2.3,7,29,0.018,0.022,0.48,0.36,0.12
13,33.9,77.1,30,2.4,5,20,0.023,0.039,0.55,0.29,0.14
17,28.7,71.2,22,2.0,9,22,0.023,0.037,0.53,0.29,0.21
12,31.3,73.9,23,2.3,9,27,0.027,0.041,0.46,0.45,0.14
10,29.7,78.6,28,1.6,12,27,0.014,0.046,0.47,0.37,0.2
13,22.5,74.8,24,2.0,6,16,0.014,0.027,0.52,0.31,0.21
15,29.1,68.5,22,1.5,9,17,0.015,0.03,0.43,0.47,0.14
